"","Lon","Lat","species","value"
"1644",10.594358,59.417073,"Labrus_bergylta",42
"1645",10.58785,59.42649,"Labrus_bergylta",70
"1650",10.604175,59.441273,"Labrus_bergylta",26
"1654",10.5366347,59.2211262,"Labrus_bergylta",169
"1655",10.5988247,59.1758044,"Labrus_bergylta",219
"1679",10.3821,59.4724,"Lesueurigobius_friesii",58
"1703",10.781908,59.86858,"Lesueurigobius_friesii",182
"1718",10.674155,59.463364,"Lesueurigobius_friesii",133
"1733",10.5366347,59.2211262,"Lesueurigobius_friesii",39
"1739",10.61246,59.873486,"Limanda_limanda",312
"1740",10.61246,59.873486,"Limanda_limanda",46
"1781",10.774639,59.842972,"Limanda_limanda",128
"1783",10.782444,59.854306,"Limanda_limanda",168
"1799",10.606443,59.649072,"Limanda_limanda",618
"1807",10.521936,59.701987,"Limanda_limanda",194
"1815",10.495182,59.266081,"Limanda_limanda",22
"1825",10.5075018,59.2390056,"Liparis_montagui",181
"1826",10.4341126,59.0639565,"Liparis_montagui",42
"1855",10.7166776,59.8842081,"Liparis_montagui",91
"1887",10.604175,59.441273,"Liparis_montagui",199
"1892",10.5988247,59.1758044,"Liparis_montagui",62
"1893",10.47285,59.348569,"Liparis_montagui",33
"1899",10.556143,59.205435,"Melanogrammus_aeglefinus",40
"1900",10.54171,59.210345,"Melanogrammus_aeglefinus",81
"1901",10.486574,59.260094,"Melanogrammus_aeglefinus",281
"1904",10.5075018,59.2390056,"Melanogrammus_aeglefinus",33
"1911",10.535367,59.80355,"Melanogrammus_aeglefinus",437
"1916",10.3821,59.4724,"Melanogrammus_aeglefinus",156
"1949",10.521936,59.701987,"Melanogrammus_aeglefinus",154
"1958",10.641683,59.426114,"Melanogrammus_aeglefinus",168
"1978",10.556143,59.205435,"Merlangius_merlangus",3380
"1980",10.486574,59.260094,"Merlangius_merlangus",592
"1982",10.599975,59.175279,"Merlangius_merlangus",287
"1983",10.5075018,59.2390056,"Merlangius_merlangus",732
"1990",10.535367,59.80355,"Merlangius_merlangus",744
"1992",10.238333,59.072778,"Merlangius_merlangus",111
"1995",10.3821,59.4724,"Merlangius_merlangus",150
"2014",10.754722,59.094444,"Merlangius_merlangus",193
"2015",10.368889,59.155389,"Merlangius_merlangus",505
"2030",10.4289222,59.0797784,"Merlangius_merlangus",361
"2034",10.674155,59.463364,"Merlangius_merlangus",139
"2039",10.594358,59.417073,"Merlangius_merlangus",563
"2040",10.58785,59.42649,"Merlangius_merlangus",114
"2045",10.604175,59.441273,"Merlangius_merlangus",45
"2048",10.5737041,59.1883778,"Merlangius_merlangus",100
"2049",10.5366347,59.2211262,"Merlangius_merlangus",65
"2050",10.5988247,59.1758044,"Merlangius_merlangus",891
"2053",10.530512,59.225725,"Merlangius_merlangus",244
"2054",10.537972,59.212548,"Merlangius_merlangus",59
"2057",10.556143,59.205435,"Myoxocephalus_scorpius",26
"2059",10.486574,59.260094,"Myoxocephalus_scorpius",44
"2061",10.599975,59.175279,"Myoxocephalus_scorpius",23
"2065",10.512778,59.733889,"Myoxocephalus_scorpius",230
"2067",10.741256,59.2329992,"Myoxocephalus_scorpius",118
"2087",10.5143874,59.8324791,"Myoxocephalus_scorpius",84
"2098",10.781908,59.86858,"Myoxocephalus_scorpius",174
"2099",10.782444,59.854306,"Myoxocephalus_scorpius",60
"2109",10.4289222,59.0797784,"Myoxocephalus_scorpius",1050
"2113",10.674155,59.463364,"Myoxocephalus_scorpius",153
"2116",10.641683,59.426114,"Myoxocephalus_scorpius",333
"2117",10.616258,59.421166,"Myoxocephalus_scorpius",41
"2124",10.604175,59.441273,"Myoxocephalus_scorpius",76
"2125",10.504374,59.283593,"Myoxocephalus_scorpius",114
"2127",10.5737041,59.1883778,"Myoxocephalus_scorpius",126
"2130",10.47285,59.348569,"Myoxocephalus_scorpius",225
"2175",10.778583,59.872806,"Oncorhynchus_gorbuscha",76
"2222",10.845383,59.134642,"Osmerus_eperlanus",39
"2344",10.521936,59.701987,"Perca_fluviatilis",108
"2373",10.556143,59.205435,"Pholis_gunnellus",82
"2375",10.486574,59.260094,"Pholis_gunnellus",86
"2377",10.599975,59.175279,"Pholis_gunnellus",69
